,name,price,cluster_group
70,Acer Aspire 7 A715-41G-R8ZH - Ryzen 7 & Nvidia GeForce 1650 Ti,7499,0.0
71,Lenovo Yoga Slim 7 Carbon 13ITL5,7499,0.0
72,Lenovo Legion 5 15ACH6H 82JU,7999,0.0
73,"Apple MacBook Air M1 2020 13"" M1/8/256 Silver",8699,0.0
74,ASUS ZenBook 13 OLED UX325EA-PURE18,10399,0.0
75,Lenovo ThinkPad T14 Gen 2,10495,0.0
76,"Apple MacBook Air M1 2020 13"" M1/16/512 Space Grey",12133,0.0
77,ASUS TUF Gaming Dash F15 FX516PR-AZ019T,14499,0.0
78,Lenovo ThinkPad X1 Carbon Gen 8,14538,0.0
79,ASUS ZenBook Pro Duo UX581LV-H2002R - Core i7 & OLEd Ultra HD 4K,16699,1.0
80,Lenovo Legion 7 16ACHg6,16999,1.0
81,GIGABYTE AORUS 15G YC - 240Hz FHD with RTX 3080,17899,1.0
82,ASUS ROG Zephyrus S15 GX502LWS-HF048T,20995,1.0
83,Acer Chromebook 314 CB314-1H-C8VP - 4 GB RAM & 64 GB SSD,2187,0.0
84,ASUS ROG Zephyrus Duo 15 GX550LXS-HF073T,27412,1.0
85,Acer Aspire 3 A315-34-C9YV - 4 GB RAM & 128 GB SSD,2891,0.0
86,Lenovo T460 (REFURBISHED),4099,0.0
87,Lenovo V14-IIL,4595,0.0
88,"Samsung Galaxy Book - Intel Core i3 & 15"" FHD LED",4999,0.0
89,Dell Vostro 3500,5379,0.0
90,Lenovo IdeaPad Flex 5 14ARE05,6753,0.0
91,Razer *DEMO* Blade Stealth,7995,0.0
92,Acer Nitro 5 AN515-54-5260,8499,0.0
93,Lenovo ThinkPad L15 Gen 1,8706,0.0
94,"Samsung Galaxy Book Pro - Intel Core i5 & 13"" AMOLED FHD",8999,0.0
95,"Samsung Galaxy Book Pro - Intel Core i5 & 15"" AMOLED FHD",8999,0.0
96,Acer Predator Helios 300 PH315-52-73HY,9799,0.0
97,ASUS ROG Zephyrus G14 GA401IU-HE094T AniMe Matrix,9979,0.0
98,ASUS ZenBook Flip 13 OLED UX363EA-PURE13,9990,0.0
99,Lenovo Legion 5 15ACH6H 82JU,11072,0.0
100,"Samsung Galaxy Book Pro - Intel Core i7 & 15"" AMOLED FHD",11499,0.0
101,ASUS ROG STRIX G713QM-HX016T RTX3060 & 144 Hz,12760,0.0
102,HP EliteBook 850 G8,12928,0.0
103,Lenovo ThinkPad T14 Gen 2,13207,0.0
104,ASUS ROG GV301QE-K6038T - IPS 120 Hz & RTX3050 Ti,14619,0.0
105,ASUS ROG Zephyrus G14 GA401QM-HZ024T,14999,0.0
106,"Microsoft Surface laptop 4 13.5""",15082,0.0
107,"Apple MacBook Pro 2020 13"" with Touch Bar Space Grey i5 16GB 1TB",16855,1.0
108,Lenovo ThinkPad T15 Gen 2,17495,1.0
109,Lenovo ThinkPad X1 Carbon Gen 9,18991,1.0
110,ASUS ROG Strix SCAR 17 G733QR-K4008T - Ryzen 9 5900HX & RTX 3070,19199,1.0
111,ASUS Zephyrus GU603HR-K8004T RTX 3070 & Core i9 11900H Rocket Lake,20119,1.0
112,Dell XPS 17 9700,21677,1.0
113,Lenovo ThinkPad L480 / Refurbished,3149,0.0
114,Lenovo IdeaPad 3 17IML05,4155,0.0
115,Lenovo ThinkPad T470s / Refurbished,5999,0.0
116,"Samsung Galaxy Book - Intel Core i5 & 15"" FHD LED",5999,0.0
117,Lenovo Yoga Slim 7 14ARE05 - Ryzen 7 & 512GB SSD,6499,0.0
118,Lenovo ThinkPad L13 Gen 2,7600,0.0
119,Lenovo Yoga Slim 7 14ARE05,7999,0.0
120,ASUS TUF FX516PE-HN004T - IPS 144 Hz & RTX3050 Ti,7999,0.0
121,Acer Predator Helios 300 PH315-52-516A - Intel Quad Core i5 Processor & 144 Hz,8799,0.0
122,HP 470 G7,9499,0.0
123,Lenovo Legion 5 15ACH6H 82JU - RTX3070 & Ryzen 5 5600H,9999,0.0
124,"Apple MacBook Air M1 2020 13"" M1/8/512 Silver",10999,0.0
125,Lenovo Yoga S940-14IIL,11499,0.0
126,ASUS Zephyrus GA503QM-HQ058T IPS 144 Hz & RTX3060,13909,0.0
127,Razer Blade 15 Base (2021) - 144hz FHD with RTX 3060,14995,0.0
128,ASUS ROG Strix G17 G712LWS-EV003T,15065,0.0
129,"Microsoft Surface laptop 4 15""",15676,0.0
130,"Microsoft Surface Laptop 4 15""",15804,0.0
131,ASUS ZenBook Pro Duo 15 OLED UX582LR-H2002R,28499,1.0
132,Lenovo ThinkPad A475 - Refurbished,4290,0.0
133,"Samsung Galaxy Book - Intel Core i5 & 15"" FHD LED",6499,0.0
134,Acer Swift 3 SF314-42-R470,6591,0.0
135,Lenovo Gaming 3 15IMH05,6699,0.0
136,Lenovo ThinkBook 14 G2 ARE,6704,0.0
137,Lenovo ThinkPad E14 Gen 2,6799,0.0
138,Lenovo IdeaPad 3 14ITL06 82H7,7128,0.0
139,Lenovo ThinkPad L14 Gen 1,7490,0.0
140,Dell Latitude 5420,7494,0.0
141,Acer Nitro 5 AN515-44-R0PC - GTX 1650 TI & 16 GB,7999,0.0
142,ASUS TUF Gaming A15 FX506IU-HN296T,8099,0.0
143,Acer Predator Helios 300 PH315-52-582R,8199,0.0
144,Apple MacBook Air 2020 with Retina display Gold i3 8GB 256GB,8545,0.0
145,Lenovo Yoga Slim 7 Pro 14ITL5,8699,0.0
146,"Samsung Galaxy Book Pro - Intel Core i5 & 15"" AMOLED FHD",9499,0.0
147,ASUS TUF Gaming A17 FX706IU-H7209T,9499,0.0
148,ASUS ZenBook 14 UX425EA-PURE13,10499,0.0
149,"Apple MacBook Air M1 2020 13"" M1/8/512 Space Grey",10999,0.0
150,Razer Blade Stealth 13,12995,0.0
151,Lenovo ThinkPad T14 Gen 2,13493,0.0
152,HP ZBook Power G7 Mobile Workstation,13699,0.0
153,"Apple MacBook Pro 2020 13"" with Touch Bar Space Grey i5 16GB 512GB",15155,0.0
154,ASUS ZenBook Pro 15 OLED UX535LI-PURE3,15999,0.0
155,Lenovo ThinkPad P15 Gen 1,20485,1.0
156,Acer Chromebook 714 CB714-1W-34ET,2990,0.0
157,Lenovo V15-ADA - Ryzen Processor & Full HD,4222,0.0
158,Acer Swift 1 SF114-33-P5WF,4289,0.0
159,Lenovo IdeaPad 5 14ARE05,4799,0.0
160,Lenovo ThinkBook 14-IIL,5490,0.0
161,Acer Aspire 5 A515-44-R42X - Ryzen 7 4500U & 16 GB RAM,5999,0.0
162,Lenovo Yoga Slim 7 Pro 14ACH5 82MS,6133,0.0
163,Dell Latitude 3510,6199,0.0
164,ASUS ZenBook 14 UX425JA-PURE2,6222,0.0
165,Lenovo ThinkPad E495,6409,0.0
166,Lenovo ThinkBook 13s-IML - Intel Core i7 & 512 GB SSD,6990,0.0
167,Dell Latitude 5510,7415,0.0
168,Lenovo ThinkBook 14 G2 ITL,7599,0.0
169,Acer Aspire 7 A715-75G-5930 -Quad Core i5 & Nvidia GTX grafikkort,7999,0.0
170,Lenovo ThinkPad T15 Gen 1,9464,0.0
171,Acer Predator Helios 300 PH315-52-7385,9499,0.0
172,Lenovo ThinkBook 15p-IMH,10642,0.0
173,Lenovo ThinkPad T14 Gen 1,11112,0.0
174,ASUS ROG Strix G15 G512LW-HN068T,11499,0.0
175,ASUS ZenBook 14 UX425EA-PURE14,12499,0.0
176,Lenovo ThinkPad P15s Gen 1,14333,0.0
177,HP EliteBook 830 G7,15128,0.0
178,ASUS ROG Zephyrus M15 GU502LV-HC049T,15299,0.0
179,Lenovo ThinkPad X1 Nano Gen 1,16995,1.0
180,HP EliteBook 850 G7,17383,1.0
181,Lenovo ThinkPad X1 Carbon Gen 8,18480,1.0
182,Lenovo ThinkPad P15v Gen 1,20903,1.0
183,Lenovo ThinkPad P15 Gen 1,34313,2.0
184,Lenovo IdeaPad 5 14ARE05,5299,0.0
185,Dell Latitude 3410,5499,0.0
186,Lenovo ThinkBook 14 G2 ITL,5617,0.0
187,Acer Aspire 7 A715-75G-589D,6499,0.0
188,Lenovo ThinkBook 15 G2 ARE,7067,0.0
189,Lenovo ThinkPad E14 Gen 2,7354,0.0
190,Lenovo ThinkPad E15 Gen 2,7595,0.0
191,HP ProBook 635 Aero G7,7871,0.0
192,Microsoft Surface Pro,8141,0.0
193,Lenovo Legion 5 15ARH05H,8353,0.0
194,Lenovo ThinkBook 13s G2 ITL,8399,0.0
195,Lenovo Legion 5 15IMH05H - Intel Core i5 & RTX 2060,9499,0.0
196,ASUS ZenBook Flip 13 OLED UX363EA-PURE3,9995,0.0
197,Lenovo ThinkPad T15 Gen 2,11222,0.0
198,Lenovo ThinkPad L13 Yoga,11287,0.0
199,"Microsoft Surface laptop 4 13.5""",11495,0.0
200,Razer Blade Stealth 13,12995,0.0
201,Lenovo ThinkPad T14s Gen 1,13564,0.0
202,Lenovo ThinkPad X12 Detachable,13799,0.0
203,Dell Precision Mobile Workstation 3551,14526,0.0
204,"Microsoft Surface laptop 4 15""",15058,0.0
205,Lenovo ThinkPad X1 Carbon Gen 9,16567,1.0
206,HP ZBook Fury,19555,1.0
207,HP ZBook Power G7 Mobile Workstation,20878,1.0
208,Razer Blade 15 Advanced - QHD 240Hz with RTX 3080,24995,1.0
209,Lenovo ThinkPad X1 Extreme Gen 3,25819,1.0
