cluster_group,name,price,Counts
0.0,432.35015136226036,9116.998990918264,991
1.0,477.71945701357464,20742.34841628959,221
2.0,494.63157894736844,32613.736842105263,19
3.0,354.75,42136.25,4
4.0,605.0,47224.0,1
5.0,441.0,64146.0,1
